,Make,Year of manufacture,Condition,Mileage,Engine Size,Fuel,Transmission
0,Toyota,2007.0,Nigerian Used,166418.0,2400.0,Petrol,Automatic
2,Mercedes-Benz,2008.0,Nigerian Used,376807.0,3000.0,Petrol,Automatic
30,Lexus,2008.0,Foreign Used,301265.0,3500.0,Petrol,Automatic
32,Lexus,2011.0,Nigerian Used,105546.0,4600.0,Petrol,Automatic
43,Lexus,2011.0,Foreign Used,211917.0,3500.0,Petrol,Automatic
44,Toyota,2014.0,Nigerian Used,216924.0,2500.0,Petrol,Automatic
50,Toyota,2014.0,Nigerian Used,216924.0,2500.0,Petrol,Automatic
54,Lexus,2016.0,Nigerian Used,107355.0,5700.0,Petrol,Automatic
55,Toyota,2009.0,Nigerian Used,134232.0,2400.0,Petrol,Manual
57,Mercedes-Benz,2007.0,Foreign Used,209466.0,4700.0,Petrol,Automatic
59,Mercedes-Benz,2017.0,Nigerian Used,31079.0,3000.0,Petrol,Automatic
62,Lexus,2010.0,Foreign Used,135819.0,3500.0,Petrol,Automatic
64,Mercedes-Benz,2015.0,Nigerian Used,120785.0,4500.0,Petrol,Automatic
65,Lexus,2006.0,Nigerian Used,156704.0,3300.0,Petrol,Automatic
66,Toyota,2013.0,Foreign Used,143701.0,1800.0,Petrol,Automatic
67,Lexus,2008.0,Nigerian Used,162262.0,4700.0,Petrol,Automatic
70,Land Rover,2011.0,Nigerian Used,132352.0,5000.0,Petrol,Automatic
71,Toyota,2010.0,Foreign Used,170599.0,3500.0,Petrol,Automatic
72,Lexus,2007.0,Foreign Used,203492.0,3500.0,Petrol,Automatic
73,Lexus,2014.0,Foreign Used,72352.0,3500.0,Petrol,Automatic
77,Lexus,2015.0,Foreign Used,228013.0,3500.0,Petrol,Automatic
78,Mercedes-Benz,2014.0,Nigerian Used,173644.0,1800.0,Petrol,Automatic
79,Toyota,2015.0,Foreign Used,79277.0,4000.0,Petrol,Automatic
80,Lexus,2015.0,Nigerian Used,88745.0,3500.0,Petrol,Automatic
81,Fiat,2000.0,Foreign Used,286241.0,2400.0,Diesel,Manual
82,Toyota,2010.0,Foreign Used,158017.0,3500.0,Petrol,Automatic
83,Toyota,2012.0,Foreign Used,122807.0,3500.0,Petrol,Automatic
84,Lexus,2004.0,Foreign Used,250650.0,3500.0,Petrol,Automatic
85,Mercedes-Benz,2006.0,Nigerian Used,243975.0,3500.0,Petrol,Automatic
86,Lexus,2013.0,Foreign Used,192175.0,3500.0,Petrol,Automatic
87,Land Rover,2018.0,Foreign Used,30092.0,3000.0,Diesel,Automatic
88,Lexus,2014.0,Foreign Used,77859.0,3500.0,Petrol,Automatic
89,Mercedes-Benz,2012.0,Foreign Used,173337.0,3500.0,Petrol,Automatic
91,Toyota,2015.0,Foreign Used,88627.0,3500.0,Petrol,Automatic
92,Lexus,2007.0,Foreign Used,141782.0,4600.0,Petrol,Automatic
93,Lexus,2005.0,Foreign Used,95873.0,3300.0,Petrol,Automatic
94,Land Rover,2018.0,Foreign Used,30092.0,3000.0,Diesel,Automatic
95,Fiat,2000.0,Foreign Used,286241.0,2400.0,Diesel,Manual
96,Toyota,2011.0,Foreign Used,215398.0,3500.0,Petrol,Automatic
97,Mercedes-Benz,2010.0,Nigerian Used,112360.0,4600.0,Petrol,Automatic
98,Toyota,2010.0,Foreign Used,170599.0,3500.0,Petrol,Automatic
99,Lexus,2007.0,Foreign Used,348830.0,3500.0,Petrol,Automatic
100,Lexus,2010.0,Foreign Used,344424.0,3500.0,Petrol,Automatic
101,Lexus,2007.0,Nigerian Used,170778.0,3300.0,Petrol,Automatic
102,Toyota,2012.0,Foreign Used,122807.0,3500.0,Petrol,Automatic
103,Mercedes-Benz,2014.0,Nigerian Used,173644.0,1800.0,Petrol,Automatic
105,Mercedes-Benz,2010.0,Nigerian Used,112360.0,4600.0,Petrol,Automatic
106,Acura,2007.0,Foreign Used,233488.0,3700.0,Petrol,Automatic
107,Toyota,2015.0,Foreign Used,88627.0,3500.0,Petrol,Automatic
108,Acura,2011.0,Nigerian Used,90726.0,3700.0,Petrol,Automatic
109,Mercedes-Benz,2014.0,Nigerian Used,152669.0,4700.0,Petrol,Automatic
110,Toyota,2015.0,Nigerian Used,47602.0,3500.0,Petrol,Automatic
111,Toyota,2008.0,Foreign Used,132566.0,4700.0,Petrol,Automatic
112,Lexus,2007.0,Foreign Used,255839.0,3500.0,Petrol,Automatic
113,Toyota,2013.0,Nigerian Used,126686.0,3500.0,Petrol,Automatic
114,Lexus,2010.0,Foreign Used,344424.0,3500.0,Petrol,Automatic
115,Lexus,2005.0,Foreign Used,95873.0,3300.0,Petrol,Automatic
116,Land Rover,2013.0,Nigerian Used,76069.0,4500.0,Petrol,Automatic
117,Toyota,2007.0,Foreign Used,401813.0,2400.0,Petrol,Automatic
118,Lexus,2002.0,Foreign Used,119143.0,3000.0,Petrol,Automatic
119,Land Rover,2011.0,Nigerian Used,26628.0,5000.0,Petrol,Automatic
120,Mercedes-Benz,2006.0,Nigerian Used,231361.0,5000.0,Petrol,Automatic
121,Lexus,2007.0,Foreign Used,175135.0,3500.0,Petrol,Automatic
123,Lexus,2010.0,Nigerian Used,140073.0,3500.0,Petrol,Automatic
124,Toyota,2004.0,Foreign Used,294359.0,2400.0,Petrol,Automatic
126,Mercedes-Benz,2015.0,Foreign Used,39662.0,3500.0,Petrol,Automatic
127,Porsche,2004.0,Foreign Used,359713.0,4500.0,Petrol,Automatic
128,Mercedes-Benz,2010.0,Nigerian Used,96957.0,3500.0,Petrol,Automatic
129,Toyota,2014.0,Foreign Used,65308.0,2000.0,Petrol,Automatic
130,Lexus,2007.0,Foreign Used,198969.0,2500.0,Petrol,Automatic
131,Toyota,2007.0,Foreign Used,149184.0,4000.0,Petrol,Automatic
132,Lexus,2009.0,Foreign Used,173307.0,3500.0,Petrol,Automatic
133,Toyota,2009.0,Foreign Used,208827.0,2400.0,Petrol,Automatic
134,Lexus,2006.0,Foreign Used,376865.0,3500.0,Petrol,Automatic
135,Lexus,2014.0,Foreign Used,139592.0,4600.0,Petrol,Automatic
136,Lexus,2008.0,Nigerian Used,97315.0,3200.0,Petrol,Automatic
137,Lexus,2010.0,Nigerian Used,140073.0,3500.0,Petrol,Automatic
138,Toyota,2015.0,Foreign Used,96531.0,3500.0,Petrol,Automatic
139,Acura,2011.0,Nigerian Used,78613.0,3700.0,Petrol,Automatic
140,Lexus,2006.0,Foreign Used,100763.0,3000.0,Petrol,Automatic
142,Toyota,2007.0,Nigerian Used,104336.0,2400.0,Petrol,Automatic
143,Lexus,2007.0,Foreign Used,65060.0,3500.0,Petrol,AMT
144,Mercedes-Benz,2007.0,Nigerian Used,1966.0,3500.0,Petrol,Automatic
145,Toyota,2017.0,Foreign Used,107748.0,2500.0,Petrol,Automatic
146,Lexus,2011.0,Foreign Used,137902.0,3000.0,Petrol,Automatic
147,Mercedes-Benz,2009.0,Nigerian Used,121829.0,4600.0,Petrol,Automatic
148,Mercedes-Benz,2010.0,Nigerian Used,96957.0,3500.0,Petrol,Automatic
149,Mercedes-Benz,2013.0,Foreign Used,232813.0,4700.0,Petrol,Automatic
150,Lexus,2007.0,Foreign Used,124511.0,3500.0,Petrol,Automatic
152,Lexus,2015.0,Nigerian Used,24855.0,3500.0,Petrol,Automatic
153,Land Rover,2006.0,Foreign Used,213515.0,4400.0,Petrol,Automatic
154,Toyota,2011.0,Nigerian Used,114388.0,4000.0,Petrol,Automatic
155,Mercedes-Benz,2008.0,Foreign Used,227689.0,3500.0,Petrol,Automatic
156,Toyota,2010.0,Foreign Used,236601.0,2500.0,Petrol,Automatic
157,Land Rover,2016.0,Foreign Used,102429.0,3500.0,Petrol,Automatic
158,Toyota,2017.0,Foreign Used,107748.0,2500.0,Petrol,Automatic
159,Lexus,2006.0,Foreign Used,100763.0,3000.0,Petrol,Automatic
160,Mercedes-Benz,2011.0,Nigerian Used,112122.0,4700.0,Petrol,Automatic
161,Lexus,2007.0,Nigerian Used,170778.0,3300.0,Petrol,Automatic
162,Lexus,2004.0,Nigerian Used,98430.0,4700.0,Petrol,Automatic
163,Toyota,2008.0,Foreign Used,93474.0,3500.0,Petrol,Automatic
164,Toyota,2011.0,Foreign Used,211357.0,2500.0,Petrol,Automatic
165,Mercedes-Benz,2015.0,Foreign Used,168946.0,3500.0,Petrol,Automatic
166,Toyota,2015.0,Nigerian Used,67161.0,2500.0,Petrol,Automatic
167,Lexus,2007.0,Foreign Used,104138.0,3500.0,Petrol,Automatic
168,Toyota,2010.0,Foreign Used,158684.0,2500.0,Petrol,Automatic
169,Mercedes-Benz,2012.0,Foreign Used,165585.0,3500.0,Petrol,Automatic
170,Toyota,2008.0,Nigerian Used,118743.0,3500.0,Petrol,Automatic
171,Toyota,2010.0,Foreign Used,131164.0,2700.0,Petrol,Automatic
172,Toyota,2009.0,Foreign Used,168603.0,2500.0,Petrol,Automatic
173,Lexus,2009.0,Foreign Used,246462.0,3500.0,Petrol,Automatic
174,Mercedes-Benz,2006.0,Nigerian Used,231361.0,5000.0,Petrol,Automatic
175,Land Rover,2014.0,Nigerian Used,56908.0,5000.0,Petrol,Automatic
176,Lexus,2008.0,Foreign Used,200262.0,3500.0,Petrol,Automatic
177,Toyota,2009.0,Nigerian Used,205371.0,3500.0,Petrol,Automatic
178,Mercedes-Benz,2006.0,Nigerian Used,380097.0,5000.0,Petrol,Automatic
179,Mercedes-Benz,2015.0,Foreign Used,39662.0,3500.0,Petrol,Automatic
180,Lexus,2001.0,Foreign Used,199731.0,3000.0,Petrol,Automatic
181,Lexus,2008.0,Foreign Used,85901.0,3500.0,Petrol,Automatic
182,Toyota,2005.0,Foreign Used,260730.0,4700.0,Petrol,Automatic
183,Toyota,2007.0,Foreign Used,274477.0,2400.0,Petrol,Automatic
184,Toyota,2011.0,Nigerian Used,114388.0,4000.0,Petrol,Automatic
185,Toyota,2011.0,Foreign Used,166839.0,2500.0,Petrol,Automatic
187,Toyota,2014.0,Foreign Used,70649.0,3500.0,Petrol,Automatic
189,Mercedes-Benz,2008.0,Nigerian Used,650.0,4000.0,Petrol,Automatic
190,Acura,2011.0,Nigerian Used,90726.0,3700.0,Petrol,Automatic
191,Toyota,2013.0,Nigerian Used,79393.0,4700.0,Petrol,Automatic
192,Lexus,2004.0,Nigerian Used,98430.0,4700.0,Petrol,Automatic
193,Toyota,2010.0,Foreign Used,237886.0,2400.0,Petrol,Automatic
194,Lexus,2006.0,Nigerian Used,144513.0,3300.0,Petrol,Automatic
195,Toyota,2015.0,Nigerian Used,67161.0,2500.0,Petrol,Automatic
196,Mercedes-Benz,2016.0,Nigerian Used,62476.0,3500.0,Petrol,Automatic
197,Lexus,2008.0,Nigerian Used,224605.0,4600.0,Petrol,Automatic
198,Toyota,2016.0,Foreign Used,149753.0,2500.0,Hybrid,Automatic
199,Toyota,2013.0,Foreign Used,169183.0,2700.0,Petrol,Automatic
200,Mercedes-Benz,2013.0,Foreign Used,222344.0,3500.0,Petrol,Automatic
201,Toyota,2011.0,Foreign Used,93785.0,3000.0,Petrol,Automatic
202,Mercedes-Benz,2010.0,Nigerian Used,299309.0,4600.0,Petrol,Automatic
203,Toyota,2009.0,Foreign Used,137397.0,2400.0,Petrol,Automatic
204,Acura,2011.0,Nigerian Used,178050.0,3700.0,Petrol,Automatic
205,Toyota,2015.0,Foreign Used,218139.0,2700.0,Petrol,Automatic
206,Mercedes-Benz,2008.0,Foreign Used,175183.0,3000.0,Petrol,Automatic
207,Toyota,2010.0,Foreign Used,158684.0,2500.0,Petrol,Automatic
208,Mercedes-Benz,2014.0,Foreign Used,83189.0,2000.0,Petrol,Automatic
209,Land Rover,2006.0,Nigerian Used,113872.0,4400.0,Petrol,Automatic
210,Mercedes-Benz,2007.0,Nigerian Used,110228.0,4500.0,Petrol,Automatic
211,Toyota,2011.0,Foreign Used,257742.0,3500.0,Petrol,Automatic
212,Toyota,2014.0,Foreign Used,86077.0,3500.0,Petrol,Automatic
213,Toyota,2012.0,Nigerian Used,76334.0,3500.0,Petrol,Automatic
214,Lexus,2014.0,Foreign Used,139592.0,4600.0,Petrol,Automatic
215,Mercedes-Benz,2011.0,Nigerian Used,193201.0,3500.0,Petrol,Automatic
216,Toyota,2007.0,Nigerian Used,104336.0,2400.0,Petrol,Automatic
217,Mercedes-Benz,2006.0,Foreign Used,239529.0,5000.0,Petrol,Automatic
218,Land Rover,2006.0,Foreign Used,118872.0,3500.0,Petrol,Automatic
219,Toyota,2014.0,Foreign Used,89208.0,2500.0,Petrol,Automatic
220,Lexus,2008.0,Nigerian Used,186699.0,3500.0,Petrol,Automatic
221,Lexus,2007.0,Nigerian Used,156579.0,3500.0,Petrol,Automatic
222,Lexus,2014.0,Nigerian Used,69129.0,4600.0,Petrol,Automatic
223,Land Rover,2011.0,Nigerian Used,7842.0,4000.0,Petrol,Automatic
224,Toyota,2010.0,Nigerian Used,106427.0,3500.0,Petrol,Automatic
225,Toyota,2016.0,Foreign Used,55055.0,2500.0,Petrol,Automatic
226,Toyota,2007.0,Foreign Used,401813.0,2400.0,Petrol,Automatic
227,Lexus,2008.0,Foreign Used,323768.0,3500.0,Petrol,Automatic
228,Lincoln,2019.0,Nigerian Used,35976.0,2000.0,Petrol,Automatic
229,Toyota,2017.0,Nigerian Used,101979.0,3500.0,Petrol,Automatic
230,Toyota,2015.0,Foreign Used,40962.0,2500.0,Petrol,Automatic
231,Toyota,2011.0,Foreign Used,142689.0,2400.0,Petrol,Automatic
232,Mercedes-Benz,2012.0,Nigerian Used,99661.0,3500.0,Petrol,Automatic
233,Land Rover,2011.0,Nigerian Used,7842.0,4000.0,Petrol,Automatic
234,Mercedes-Benz,2010.0,Foreign Used,242841.0,3500.0,Petrol,Automatic
235,Lexus,2012.0,Foreign Used,135295.0,3500.0,Petrol,Automatic
236,Mercedes-Benz,2013.0,Nigerian Used,90604.0,4700.0,Petrol,Automatic
237,Land Rover,2006.0,Nigerian Used,137818.0,4000.0,Petrol,Automatic
238,Lexus,2007.0,Nigerian Used,177336.0,3500.0,Petrol,Automatic
239,Toyota,2010.0,Foreign Used,159981.0,3500.0,Petrol,Automatic
240,Land Rover,2010.0,Nigerian Used,140366.0,5000.0,Petrol,Automatic
241,Lexus,2012.0,Foreign Used,134949.0,3500.0,Petrol,Automatic
242,Toyota,2008.0,Foreign Used,197403.0,3500.0,Petrol,Automatic
